train_loss,val_loss,train_acc,val_acc,lr
0.9262170847256979,0.4134208554487962,72.30208333333333,86.92788461538463,0.001
0.5327746546421296,0.33336007540042584,83.20192307692308,89.1826923076923,0.001
0.4453081383766272,0.29874760164664343,85.72516025641026,90.36057692307692,0.001
0.40184957125248055,0.2813999805083642,86.94711538461539,90.77403846153847,0.001
0.37216548702655694,0.2678218984603882,87.92788461538461,91.14903846153845,0.001
0.35106347762621365,0.2608570417074057,88.54166666666666,91.4375,0.001
0.3404490531560702,0.25390490596111004,88.82772435897436,91.58173076923077,0.001
0.32452899656234646,0.24865734435044803,89.26121794871796,91.8798076923077,0.001
0.3168280980296624,0.24620450698412383,89.59054487179488,91.7548076923077,0.001
0.30830682231829715,0.24192400771837969,89.64022435897436,91.96634615384616,0.001
0.30395752041003643,0.2400823479432326,89.87580128205128,92.125,0.001
0.29775145434416256,0.2388896590929765,90.06169871794872,92.07211538461539,0.001
0.2951565078817881,0.23464896394656254,90.1738782051282,92.21634615384615,0.001
0.2882840907268035,0.23220069403831775,90.31089743589743,92.36057692307692,0.001
0.2889112519224485,0.23019008411810948,90.29246794871794,92.3701923076923,0.001
0.28483397441032604,0.23437929776998667,90.40384615384616,92.3173076923077,0.001
0.2820210345280476,0.23274867997719692,90.53926282051282,92.28365384615384,0.001
0.27889608276960176,0.2285713476401109,90.55608974358974,92.4326923076923,0.001
0.2767344680046424,0.2238306733736625,90.67307692307692,92.54807692307693,0.001
0.2748202814276402,0.22775355513279255,90.7588141025641,92.60576923076923,0.001
