epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.053369851631996,0.4846347455794995,68.52083333333333,84.74038461538461,0.001
2,0.6246706689932408,0.40439467118336603,80.6386217948718,87.29326923076923,0.001
3,0.5340043247663058,0.36575068776424113,83.33413461538461,88.2451923076923,0.001
4,0.4889971533341286,0.3421042113120739,84.50320512820512,89.1298076923077,0.001
5,0.4523597498276295,0.33010618429917554,85.6025641025641,89.45192307692308,0.001
6,0.4317737929790448,0.3127826683796369,86.24919871794872,89.9375,0.001
7,0.4195530381722328,0.3177034654067113,86.49358974358974,89.82211538461539,0.001
8,0.4084722331089851,0.30203932496217584,86.87740384615384,90.29326923076924,0.001
9,0.39524921177289424,0.2943942468899947,87.22195512820512,90.6875,0.001
10,0.3871040390088008,0.2991388461223015,87.51442307692308,90.1923076923077,0.001
11,0.38036557737069254,0.28470077147850625,87.64583333333333,91.03365384615385,0.001
12,0.373874122714385,0.2903711426258087,87.84455128205128,90.63942307692308,0.001
13,0.3706090616262876,0.2887864941817064,87.98076923076923,90.63942307692308,0.001
14,0.3681556999224883,0.2843843525648117,88.0136217948718,91.01442307692308,0.001
15,0.3637722105246324,0.27996559308125424,88.06169871794872,90.97596153846153,0.001
