train_loss,val_loss,train_acc,val_acc,lr
0.5677979052372468,0.22783794545210326,81.9775641025641,92.34134615384615,0.001
0.2830884197354317,0.20253473300200242,90.80929487179488,93.26923076923077,0.001
0.24408274412919315,0.19157839534374385,92.05689102564104,93.77884615384615,0.001
0.22751315120703136,0.19101474358485296,92.62179487179488,93.67788461538461,0.001
0.212222736454927,0.16889238407692084,93.05528846153847,94.08173076923076,0.001
0.20135359071004086,0.16387220083520962,93.3076923076923,94.45192307692307,0.001
0.19440350896272904,0.15977381904824423,93.55608974358974,94.6923076923077,0.001
0.19018295552103948,0.15781944034191278,93.5576923076923,94.64423076923076,0.001
0.1853472335063494,0.15843219742178916,93.72596153846153,94.65865384615385,0.001
0.1800753115537839,0.15570516800507903,93.85496794871796,94.72596153846153,0.001
0.1765633991628121,0.1566301278368785,94.01121794871796,94.6875,0.001
0.17541299395836316,0.15498913243986093,94.00240384615385,94.8173076923077,0.001
0.17067135028350047,0.15641971411899877,94.10657051282051,94.63461538461539,0.001
0.16863923250864712,0.1559989195718215,94.21554487179488,94.60096153846153,0.001
0.16909529809768384,0.15638158741192176,94.19471153846153,94.78365384615385,0.001
