epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.9145864746203789,0.41147659723575297,72.4463141025641,86.83653846153845,0.001
2,0.5302025033877447,0.3345330193409553,83.32291666666667,88.99038461538461,0.001
3,0.4490349374214808,0.2966001678430117,85.62259615384616,90.1875,0.001
4,0.39986486141498273,0.28134400560305667,87.13221153846153,90.79326923076924,0.001
5,0.3742575715749692,0.2656980221546613,87.95192307692308,91.16826923076923,0.001
6,0.3515153401478743,0.25485088087045227,88.5448717948718,91.6923076923077,0.001
7,0.34113756910348547,0.252771339233105,88.83733974358974,91.66346153846155,0.001
8,0.3238984153515253,0.24960833962147053,89.35096153846153,91.64903846153845,0.001
9,0.31916521578263013,0.2448911650134967,89.48798076923077,91.96153846153847,0.001
10,0.30719506627474075,0.23717873999705683,89.78125,92.09134615384616,0.001
11,0.30519382414145346,0.23743310914589807,89.8613782051282,91.8798076923077,0.001
12,0.2975882904422589,0.2369786937878682,90.05448717948717,92.17307692307692,0.001
13,0.29261924768869696,0.23188149763987614,90.2636217948718,92.20673076923077,0.001
14,0.29103264879721863,0.23145040709238787,90.3349358974359,92.30288461538461,0.001
15,0.28702486486007006,0.23151035755872726,90.37820512820512,92.34615384615384,0.001
16,0.28673647308960937,0.2300739764708739,90.46153846153845,92.46153846153847,0.001
17,0.2823074038670613,0.22904326347204354,90.63221153846153,92.46153846153847,0.001
18,0.27712723749570356,0.22905892454660856,90.66346153846155,92.54807692307693,0.001
19,0.2778206886160068,0.2272599011201125,90.66266025641025,92.34134615384615,0.001
20,0.27559848832778444,0.22487910348635454,90.67788461538461,92.58653846153845,0.001
